"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"1400000US48355003101","Census Tract 31.01, Nueces County, Texas","5187","488"
"1400000US48029181814","Census Tract 1818.14, Bexar County, Texas","6593","639"
"1400000US48485013401","Census Tract 134.01, Wichita County, Texas","7504","755"
"1400000US48141010326","Census Tract 103.26, El Paso County, Texas","5069","473"
"1400000US48113015404","Census Tract 154.04, Dallas County, Texas","4990","522"
"1400000US48029171602","Census Tract 1716.02, Bexar County, Texas","3532","320"
"1400000US48319950200","Census Tract 9502, Mason County, Texas","1952","247"
"1400000US48029121108","Census Tract 1211.08, Bexar County, Texas","7940","780"
"1400000US48439113220","Census Tract 1132.20, Tarrant County, Texas","7354","684"
"1400000US48323950201","Census Tract 9502.01, Maverick County, Texas","8690","1097"
"1400000US48085031639","Census Tract 316.39, Collin County, Texas","6651","346"
"1400000US48309000400","Census Tract 4, McLennan County, Texas","5708","868"
"1400000US48113014306","Census Tract 143.06, Dallas County, Texas","6114","421"
"1400000US48201411100","Census Tract 4111, Harris County, Texas","3872","383"
"1400000US48453002106","Census Tract 21.06, Travis County, Texas","2718","304"
"1400000US48121021720","Census Tract 217.20, Denton County, Texas","3554","137"
"1400000US48029181819","Census Tract 1818.19, Bexar County, Texas","7142","723"
"1400000US48113005902","Census Tract 59.02, Dallas County, Texas","4827","528"
"1400000US48185180302","Census Tract 1803.02, Grimes County, Texas","3288","413"
"1400000US48029181602","Census Tract 1816.02, Bexar County, Texas","5924","543"
"1400000US48121021749","Census Tract 217.49, Denton County, Texas","3475","148"
"1400000US48479000108","Census Tract 1.08, Webb County, Texas","3922","437"
"1400000US48113016620","Census Tract 166.20, Dallas County, Texas","5571","423"
"1400000US48401950900","Census Tract 9509, Rusk County, Texas","3531","295"
